Step,random,lfu,lru,a3c
0,65.45615526,48.04461182,48.35192335,63.39841539
1,63.98285876,45.43453071,48.93250393,63.8172043
2,63.63720074,43.22421784,48.77234377,62.94850028
3,64.50701232,47.50579374,48.6951237,63.95868704
4,63.69953251,43.09096176,48.88102388,64.03225806
5,63.37370732,48.98030127,48.86958387,63.95585739
6,64.18968692,48.10544612,48.53496353,62.68534239
7,65.19266185,46.96987254,48.85528386,64.74533107
8,63.80436322,46.28910776,48.49492349,63.4606678
9,62.83538745,45.00289687,48.52066352,61.89869836
10,63.24337725,44.32792584,48.82096382,64.06338427
11,64.01119139,51.19351101,48.94394394,63.55970572
12,64.13585494,44.39165701,48.3976834,64.48500283
13,62.60305992,43.22421784,49.18418418,62.58064516
14,64.78467205,47.03070684,48.88388388,62.43067346
15,64.60050999,46.81344148,48.73516374,64.80192417
16,64.98300042,46.14716107,48.67510368,60.5319751
17,64.546678,47.22190035,48.88674389,60.59988681
18,63.47853804,47.73464658,49.08408408,60.56593096
19,64.7280068,44.98841251,48.58930359,60.80645161
20,63.90636067,46.46871379,48.94394394,60.14714205
21,63.23771072,49.50463499,48.70942371,59.55008489
22,62.97138405,49.80301275,49.1041041,58.44934918
23,64.19818671,48.97161066,48.68082368,59.04074703
24,63.19237852,53.16917729,48.68940369,61.44029428
25,62.91188554,46.40498262,48.50636351,59.83588002
26,63.50120414,49.29026651,48.87816388,60.29994341
27,63.05354866,47.02201622,48.83526384,59.48217317
28,63.49837087,45.31286211,48.96110396,60.9451047
29,64.81017141,45.29258401,49.18704419,60.43576684
30,64.4106814,52.04808806,48.93250393,60.6196944
31,65.05666525,50.81112399,48.72944373,56.72608942
32,63.84969542,47.07705678,48.93822394,58.66440294
33,62.95438447,48.37485516,48.73230373,56.60441426
34,64.88100297,43.67612978,48.41198341,57.21844935
35,63.05638192,45.39976825,48.64078364,56.88455008
36,63.640034,40.68366165,48.87530388,57.40520656
37,64.38518204,46.60486674,48.84384384,57.7221279
38,63.92902677,45.40266512,48.9039039,56.56762875
39,63.94035982,46.17323291,48.94394394,57.58347482
40,64.39084856,45.51274623,49.01830402,57.52971138
41,63.67686641,51.18192352,48.56642357,56.47425014
42,64.68550786,48.89339513,48.72086372,58.40690436
43,63.93186004,48.88180765,48.82096382,56.01301641
44,65.06516504,48.35457706,49.22422422,56.90152801
45,64.24068565,46.96118192,48.67224367,56.81946802
46,64.79033857,46.7815759,48.82954383,57.82399547
47,63.81852954,43.14889919,48.86672387,54.3491794
48,65.00566653,43.18366165,48.92964393,55.59705716
49,63.77036407,50.32155272,49.11840412,56.34974533
50,63.44737215,48.67612978,49.27284427,55.52631579
51,64.52117864,46.57300116,48.77520378,55.57724958
52,64.94900127,45.03765933,48.42056342,56.45444256
53,64.54951126,45.0608343,48.26326326,55.32258065
54,63.26037682,47.34067207,48.93250393,55.11035654
55,64.5240119,45.34472769,48.57500358,55.29994341
56,63.9573594,48.67902665,48.94966395,55.3820034
57,63.46153846,47.37543453,48.77520378,54.93208829
58,63.74769797,48.5834299,48.72372372,55.74985852
59,63.38220711,46.8221321,48.93822394,54.07187323
60,62.81838787,48.77172654,48.72944373,55.47821166
61,64.13018841,49.49015064,48.83812384,56.69213356
62,64.03385749,46.46292005,48.76090376,54.9434069
63,64.43901402,46.27462341,48.42056342,54.90379174
64,65.25216036,47.57531866,48.84670385,55.08205999
65,64.73650659,45.33024334,48.46346346,55.28862479
66,63.74486471,51.16743917,48.96968397,53.83984154
67,64.76767247,47.5202781,48.90962391,54.96321449
68,64.31435047,45.07821553,48.29472329,54.49349179
69,63.94319309,48.2792584,48.75232375,54.76513865
70,63.79019691,46.87137891,49.06978407,54.82739106
71,63.90919394,47.87079954,49.04404404,56.52518393
72,62.81838787,45.01448436,48.8038038,54.62082626
73,65.51282051,49.91309386,48.88674389,55.3820034
74,63.19804505,47.6216686,49.18132418,55.38766271
75,62.84388724,48.66454229,48.89246389,54.09734012
76,63.92052699,48.84125145,48.5978836,54.15676287
77,64.1840204,46.94090382,48.38338338,55.18675722
78,63.47003825,45.72132097,48.68082368,54.7934352
79,64.99150021,47.38412514,49.08122408,55.16694963
80,64.87533645,47.38991889,48.84384384,54.5557442
81,64.81017141,45.02607184,48.65794366,53.65591398
82,64.3880153,44.30764774,48.26326326,54.83305037
83,63.63720074,49.27867903,48.9039039,55.54329372
84,64.07918969,45.39107764,48.73230373,54.36615733
