Step,random,lfu,lru,a3c
0,0.210936393,0.452056779,0.407121407,0.224391624
1,0.223402748,0.444090382,0.404404404,0.220430108
2,0.221986117,0.436993048,0.402116402,0.227079796
3,0.214761298,0.428012746,0.403689404,0.226938314
4,0.222269443,0.437282735,0.406978407,0.220996038
5,0.223827738,0.428447277,0.403546404,0.219156763
6,0.221561128,0.433371958,0.401401401,0.224957555
7,0.215611276,0.435110081,0.403689404,0.218166384
8,0.225527695,0.438441483,0.404547405,0.22467459
9,0.233744156,0.44887022,0.408408408,0.229202037
10,0.222411106,0.426998841,0.403689404,0.221137521
11,0.219719507,0.41801854,0.400972401,0.220854556
12,0.21801955,0.42612978,0.405977406,0.20401811
13,0.232327525,0.437572422,0.4004004,0.223967176
14,0.211644709,0.433806489,0.403975404,0.22467459
15,0.219152855,0.446407879,0.405119405,0.208545557
16,0.211361383,0.439165701,0.406978407,0.239813243
17,0.212778014,0.438151796,0.403260403,0.247170345
18,0.221986117,0.43221321,0.400829401,0.246604414
19,0.218444539,0.448435689,0.406120406,0.243067346
20,0.22212778,0.437572422,0.403260403,0.245472552
21,0.220427823,0.441628042,0.402974403,0.242501415
22,0.227510979,0.422653534,0.402116402,0.259054895
23,0.215469613,0.429461182,0.405548406,0.247028862
24,0.21986117,0.417728853,0.407407407,0.236276174
25,0.226519337,0.437862109,0.402259402,0.248585173
26,0.228219295,0.421639629,0.403117403,0.235568761
27,0.223969401,0.434820394,0.404118404,0.246462932
28,0.226094348,0.446697567,0.402974403,0.238964346
29,0.212069698,0.447132097,0.397969398,0.24122807
30,0.213344666,0.413528389,0.400972401,0.241086587
31,0.209944751,0.416859791,0.401973402,0.270514997
32,0.220427823,0.433806489,0.401258401,0.266977929
33,0.224961043,0.429171495,0.404690405,0.276032824
34,0.214761298,0.416714948,0.407550408,0.274759479
35,0.227227653,0.444090382,0.407550408,0.280135823
36,0.221277801,0.420336037,0.3998284,0.2778721
37,0.21575294,0.436558517,0.4002574,0.271646859
38,0.215894603,0.444524913,0.400686401,0.280701754
39,0.21759456,0.441917729,0.406120406,0.272920204
40,0.220569486,0.450028969,0.4001144,0.276174307
41,0.220569486,0.417439166,0.404404404,0.279711375
42,0.219436181,0.430475087,0.400686401,0.264572722
43,0.22028616,0.428736964,0.402545403,0.281833616
44,0.215186287,0.452201622,0.3995424,0.281550651
45,0.216744581,0.434965238,0.405977406,0.278862479
46,0.21986117,0.464803013,0.401544402,0.273910583
47,0.21801955,0.437862109,0.401401401,0.318053198
48,0.21079473,0.435544612,0.399399399,0.300367855
49,0.221561128,0.423957126,0.403117403,0.299518959
50,0.226377674,0.425115875,0.398255398,0.306168647
51,0.217452897,0.436993048,0.3996854,0.305319751
52,0.21986117,0.450028969,0.406549407,0.293718166
53,0.220569486,0.421639629,0.408122408,0.30786644
54,0.224961043,0.430475087,0.400972401,0.302631579
55,0.215044624,0.445104287,0.407407407,0.301075269
56,0.219577844,0.429026651,0.4001144,0.311686474
57,0.225102706,0.430475087,0.401973402,0.303621958
58,0.217027908,0.425115875,0.403975404,0.304612337
59,0.219436181,0.440179606,0.401258401,0.310979061
60,0.226661,0.432502897,0.404833405,0.304612337
61,0.218302876,0.433082271,0.400543401,0.303338993
62,0.217452897,0.441917729,0.404404404,0.309847199
63,0.218161213,0.443800695,0.405405405,0.323146576
64,0.213769656,0.433806489,0.404118404,0.324985852
65,0.220852812,0.446987254,0.406692407,0.327108093
66,0.224536053,0.419322132,0.401973402,0.340124505
67,0.218727865,0.43424102,0.399256399,0.327532541
68,0.223261085,0.448580533,0.407121407,0.33007923
69,0.21801955,0.428736964,0.4002574,0.322156197
70,0.221136138,0.43829664,0.402116402,0.330362196
71,0.219719507,0.398754345,0.398255398,0.316779853
72,0.22892761,0.447711472,0.403403403,0.329937748
73,0.216036266,0.423522596,0.403260403,0.32696661
74,0.220711149,0.431488992,0.403403403,0.32385399
75,0.22255277,0.43264774,0.401830402,0.33007923
76,0.223119422,0.429026651,0.405119405,0.333333333
77,0.220711149,0.433661645,0.408408408,0.318619128
78,0.220711149,0.421060255,0.402116402,0.330928127
79,0.217169571,0.397595597,0.398684399,0.337719298
